央视频道,#genre#
CCTV1,http://39.136.48.8:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://39.136.48.52:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://39.136.48.6:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://39.136.48.51:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV1,http://39.136.48.27:8089/PLTV/88888888/224/3221225859/index.m3u8
CCTV2,http://39.136.48.8:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV2,http://39.136.48.51:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV2,http://39.136.48.52:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV2,http://39.136.48.100:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV2,http://39.136.48.7:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV2,http://39.136.48.4:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV2,http://39.136.48.6:8089/PLTV/88888888/224/3221225751/index.m3u8
CCTV3,http://39.136.48.8:8089/PLTV/88888888/224/3221226583/index.m3u8
CCTV4,http://39.136.48.51:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4,http://39.136.48.52:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4,http://39.136.48.29:8089/PLTV/88888888/224/3221226395/index.m3u8
CCTV4,http://39.136.48.29:8089/PLTV/88888888/224/3221226318/index.m3u8
CCTV4,http://39.136.48.29:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4,http://39.136.48.6:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4,http://39.136.48.28:8089/PLTV/88888888/224/3221226318/index.m3u8
CCTV4,http://39.136.48.7:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4,http://39.136.48.8:8089/PLTV/88888888/224/3221225757/index.m3u8
CCTV4,http://39.136.48.6:8089/PLTV/88888888/224/3221226395/index.m3u8
CCTV5,http://39.136.48.8:8089/PLTV/88888888/224/3221226425/index.m3u8
CCTV5,http://39.136.48.8:8089/PLTV/88888888/224/3221225901/index.m3u8
